word,emotion
contentious,fear
contingent,anticipation
continuation,anticipation
continue,anticipation
continue,trust
contraband,anger
contraband,disgust
contraband,fear
contradict,anger
contributor,trust
controversial,anger
convent,trust
convergence,anticipation
conveyancing,trust
convict,anger
convict,disgust
convict,fear
convict,sadness
convince,anticipation
convince,trust
convinced,trust
convincing,trust
coop,anger
coop,disgust
cooperating,trust
cooperation,trust
cooperative,trust
cop,fear
cop,trust
copycat,anger
copycat,disgust
coronation,joy
coronation,trust
corporation,trust
corpse,disgust
corpse,sadness
correctness,trust
correspondence,anticipation
corroborate,trust
corroboration,trust
corrosive,fear
corrupting,anger
corrupting,disgust
corrupting,fear
corrupting,sadness
corruption,disgust
corse,sadness
cosmopolitan,trust
couch,sadness
cough,disgust
council,anticipation
council,trust
counsel,trust
counsellor,anger
counsellor,fear
counsellor,trust
counselor,trust
count,trust
countdown,anticipation
countryman,trust
county,trust
coup,anger
coup,surprise
courageous,fear
courier,trust
court,anger
court,anticipation
court,fear
courtship,anticipation
courtship,joy
courtship,trust
cove,anticipation
cove,disgust
cove,fear
cove,joy
covenant,trust
cover,trust
coward,disgust
coward,fear
coward,sadness
cowardice,fear
cowardly,fear
coy,fear
coyote,fear
crabby,anger
cracked,anger
cracked,fear
cradle,anticipation
cradle,joy
cradle,trust
cramp,anticipation
cranky,anger
crap,disgust
craps,anticipation
crash,fear
crash,sadness
crash,surprise
crave,anticipation
craving,anticipation
crawl,disgust
crazed,anger
crazed,fear
crazy,anger
crazy,fear
crazy,sadness
cream,anticipation
cream,joy
cream,surprise
create,joy
creature,disgust
creature,fear
credence,trust
credential,trust
credibility,trust
credible,trust
credit,trust
creditable,trust
creeping,anticipation
cremation,sadness
crescendo,anticipation
crescendo,joy
crescendo,surprise
crescendo,trust
crew,trust
crime,anger
criminal,anger
criminal,disgust
criminal,fear
criminality,anger
criminality,disgust
criminality,fear
cringe,disgust
cringe,fear
cringe,sadness
cripple,fear
cripple,sadness
crippled,sadness
crisp,trust
criticism,anger
criticism,sadness
criticize,anger
criticize,disgust
criticize,fear
criticize,sadness
critter,disgust
crocodile,fear
cross,anger
cross,fear
cross,sadness
crouch,fear
crouching,fear
crowning,anticipation
crowning,joy
crowning,surprise
crowning,trust
crucial,trust
crucifixion,anger
crucifixion,disgust
crucifixion,fear
crucifixion,sadness
crude,disgust
cruel,anger
cruel,disgust
cruel,fear
cruel,sadness
cruelly,anger
cruelly,fear
